file,patch,size_mb,games_est,deaths,spells,attacks,damage,items,n_champs,champs
batch_021.jsonl.gz,12_22,1416.5,16,0,45347,43794,440203,3009,83,aatrox|ahri|anivia|aphelios|ashe|blitzcrank|brand|braum|camille|cassiopeia|chogath|draven|ekko|elise|evelynn|ezreal|fiora|galio|gangplank|garen|gnar|graves|hecarim|heimerdinger|janna|jax|jayce|jhin|jinx|kaisa|karma|kassadin|katarina|kayn|kennen|khazix|kindred|kogmaw|ksante|leesin|lillia|lucian|malphite|masteryi|monkeyking|nami|nautilus|neeko|rakan|rammus|renata|renekton|rengar|riven|ryze|sejuani|seraphine|sett|singed|sion|sivir|sylas|syndra|talon|teemo|thresh|tryndamere|twitch|varus|veigar|vi|viego|vladimir|xayah|xerath|xinzhao|yasuo|yone|yorick|yuumi|zac|ziggs|zoe
batch_024.jsonl.gz,12_22,1222.6,14,0,40065,38389,362020,2452,79,aatrox|ahri|akali|akshan|amumu|aphelios|ashe|azir|bard|blitzcrank|brand|caitlyn|camille|chogath|diana|draven|ekko|ezreal|fiddlesticks|fizz|garen|graves|hecarim|heimerdinger|irelia|ivern|janna|jarvaniv|jhin|kaisa|kalista|kindred|kogmaw|ksante|leesin|lulu|lux|maokai|masteryi|monkeyking|nautilus|nidalee|nilah|ornn|pantheon|poppy|pyke|renekton|riven|rumble|samira|sejuani|seraphine|shaco|shen|sion|sylas|syndra|taliyah|teemo|thresh|trundle|tryndamere|twitch|udyr|urgot|varus|vayne|viego|vladimir|volibear|warwick|xerath|yasuo|yone|yuumi|zac|zed|zoe
batch_022.jsonl.gz,12_22,1961.7,24,0,63605,60332,603384,3921,106,aatrox|akali|akshan|amumu|aphelios|bard|blitzcrank|caitlyn|camille|corki|darius|diana|draven|drmundo|ekko|elise|evelynn|ezreal|fiora|fizz|galio|gangplank|garen|gnar|gragas|graves|gwen|hecarim|heimerdinger|irelia|janna|jarvaniv|jax|jayce|jhin|jinx|kaisa|kalista|karma|kassadin|katarina|kindred|ksante|leesin|leona|lillia|lucian|lulu|lux|maokai|masteryi|monkeyking|mordekaiser|morgana|nami|nasus|nautilus|nilah|ornn|pantheon|pyke|qiyana|rammus|reksai|rell|renata|rengar|riven|rumble|samira|sejuani|senna|sett|shen|shyvana|sona|soraka|sylas|syndra|tahmkench|taliyah|talon|teemo|thresh|tristana|tryndamere|twitch|udyr|urgot|varus|vayne|veigar|viego|viktor|vladimir|volibear|xerath|xinzhao|yasuo|yone|yorick|yuumi|zed|zeri|zilean|zoe
batch_027.jsonl.gz,12_22,1113.8,15,0,37967,33716,334899,2526,80,aatrox|akali|amumu|aphelios|bard|belveth|brand|caitlyn|camille|darius|diana|draven|ekko|ezreal|fiora|galio|gangplank|garen|gnar|graves|hecarim|heimerdinger|irelia|jarvaniv|jayce|jinx|kaisa|kalista|kassadin|kayn|khazix|kled|ksante|leesin|lillia|lucian|malphite|maokai|masteryi|missfortune|monkeyking|morgana|nami|nautilus|nilah|nunu|pyke|reksai|renata|renekton|riven|rumble|ryze|sejuani|senna|seraphine|sett|shyvana|sivir|sona|soraka|swain|sylas|syndra|teemo|tryndamere|twistedfate|twitch|vex|vi|viego|vladimir|volibear|xayah|yasuo|yone|yuumi|zac|zed|zoe
batch_030.jsonl.gz,12_22,1122.5,13,0,39803,34601,337956,2248,83,aatrox|akali|alistar|aphelios|azir|bard|belveth|brand|caitlyn|camille|cassiopeia|darius|diana|draven|drmundo|evelynn|ezreal|fiora|gangplank|garen|heimerdinger|irelia|ivern|janna|jax|jhin|kaisa|karma|kayn|kennen|khazix|kindred|kled|kogmaw|ksante|leesin|leona|lillia|lucian|lulu|lux|monkeyking|mordekaiser|nami|nautilus|nidalee|olaf|pyke|qiyana|rakan|renekton|rengar|riven|ryze|samira|seraphine|shen|sion|sivir|sona|soraka|sylas|syndra|tahmkench|taliyah|teemo|thresh|tristana|trundle|tryndamere|twitch|udyr|varus|veigar|viktor|volibear|xayah|xerath|xinzhao|yasuo|yone|zed|zoe
batch_023.jsonl.gz,12_22,1927.6,26,0,64364,61787,600524,4210,104,aatrox|ahri|akali|akshan|alistar|annie|aphelios|azir|bard|blitzcrank|caitlyn|camille|cassiopeia|corki|darius|diana|draven|drmundo|ekko|ezreal|fiddlesticks|fiora|fizz|gangplank|graves|gwen|hecarim|heimerdinger|irelia|ivern|janna|jarvaniv|jax|jayce|jhin|kaisa|kalista|karma|karthus|kassadin|katarina|kayn|kennen|khazix|kindred|kogmaw|ksante|leblanc|leesin|leona|lillia|lissandra|lulu|lux|maokai|masteryi|morgana|nasus|nautilus|nidalee|nilah|nocturne|nunu|ornn|poppy|qiyana|renata|renekton|riven|ryze|samira|sejuani|seraphine|shaco|shen|shyvana|singed|sion|sivir|sona|soraka|sylas|syndra|tahmkench|talon|teemo|thresh|tristana|tryndamere|twitch|udyr|varus|vayne|vi|viego|viktor|volibear|xerath|xinzhao|yasuo|yone|zac|zed|zilean
batch_025.jsonl.gz,12_22,1976.5,26,0,68122,63335,610891,4299,102,aatrox|ahri|akali|alistar|aphelios|azir|bard|belveth|braum|caitlyn|camille|chogath|darius|draven|ekko|evelynn|ezreal|fiddlesticks|fiora|fizz|gnar|gragas|graves|gwen|hecarim|heimerdinger|irelia|janna|jax|jayce|jinx|kaisa|karma|karthus|kassadin|kayn|kennen|khazix|kled|kogmaw|ksante|leblanc|leesin|leona|lillia|lissandra|lucian|lulu|maokai|masteryi|monkeyking|mordekaiser|morgana|nami|nasus|nautilus|nidalee|nilah|nocturne|nunu|olaf|ornn|pyke|quinn|rakan|renata|renekton|riven|rumble|ryze|samira|sejuani|senna|seraphine|sett|shaco|sion|sona|soraka|swain|sylas|syndra|taliyah|thresh|tristana|tryndamere|twitch|udyr|varus|velkoz|viego|volibear|xayah|xerath|xinzhao|yasuo|yone|yuumi|zac|zed|zilean|zoe
batch_028.jsonl.gz,12_22,1925.7,26,0,65064,58184,588300,3981,107,aatrox|ahri|akali|akshan|amumu|aphelios|ashe|bard|brand|braum|caitlyn|camille|chogath|darius|diana|draven|drmundo|elise|evelynn|ezreal|fiddlesticks|fiora|fizz|graves|gwen|hecarim|heimerdinger|irelia|janna|jarvaniv|jax|jayce|jhin|kaisa|karma|kassadin|katarina|kayn|kennen|khazix|kindred|kogmaw|ksante|leesin|leona|lucian|lulu|monkeyking|mordekaiser|morgana|nami|nautilus|neeko|nidalee|nilah|nunu|ornn|pyke|qiyana|rakan|rammus|reksai|renekton|rengar|riven|rumble|ryze|samira|sejuani|senna|seraphine|sett|shen|shyvana|singed|sion|soraka|swain|sylas|syndra|tahmkench|taliyah|talon|taric|teemo|thresh|tristana|tryndamere|twitch|udyr|varus|veigar|vex|vi|viego|viktor|vladimir|xayah|xerath|xinzhao|yasuo|yone|yuumi|zac|zed|zilean|zoe
batch_026.jsonl.gz,12_22,1964.0,22,0,66073,59948,575828,4197,100,aatrox|ahri|akali|akshan|amumu|anivia|ashe|azir|bard|blitzcrank|braum|caitlyn|camille|darius|diana|draven|ekko|evelynn|ezreal|fiddlesticks|fiora|gangplank|garen|graves|gwen|hecarim|heimerdinger|illaoi|irelia|janna|jarvaniv|jax|jhin|jinx|kaisa|kalista|karma|karthus|kassadin|kayn|khazix|kindred|ksante|leblanc|leesin|lucian|lulu|maokai|monkeyking|mordekaiser|nami|nautilus|nidalee|nilah|nocturne|ornn|poppy|pyke|rakan|rammus|renata|renekton|rengar|riven|rumble|ryze|samira|sejuani|seraphine|shaco|singed|sona|soraka|swain|sylas|syndra|talon|taric|teemo|thresh|tristana|tryndamere|twistedfate|twitch|udyr|varus|vayne|viego|viktor|vladimir|volibear|xayah|xerath|xinzhao|yone|yuumi|zac|zed|zoe|zyra
batch_033.jsonl.gz,12_22,1006.9,12,0,34680,32199,309145,2139,72,aatrox|ahri|akali|aphelios|ashe|azir|bard|blitzcrank|brand|caitlyn|camille|darius|diana|elise|evelynn|ezreal|fizz|galio|gnar|gragas|graves|gwen|heimerdinger|irelia|janna|jax|jhin|kaisa|kalista|karma|kassadin|katarina|khazix|kled|kogmaw|ksante|leona|lillia|lucian|masteryi|nami|nautilus|nidalee|orianna|ornn|pantheon|poppy|qiyana|quinn|reksai|renata|riven|sejuani|shyvana|singed|sivir|soraka|swain|sylas|syndra|thresh|tristana|twitch|udyr|varus|vayne|velkoz|vex|vladimir|xinzhao|yone|zed
batch_029.jsonl.gz,12_22,1998.3,25,0,69041,60813,603044,4144,108,aatrox|ahri|akali|akshan|alistar|amumu|aphelios|ashe|azir|bard|blitzcrank|brand|caitlyn|camille|cassiopeia|darius|diana|ekko|evelynn|ezreal|fiora|fizz|galio|gangplank|gragas|graves|gwen|hecarim|heimerdinger|illaoi|irelia|janna|jarvaniv|jax|jayce|jhin|jinx|kaisa|karma|karthus|kassadin|katarina|kayn|kennen|khazix|kindred|ksante|leesin|lillia|lucian|lulu|lux|masteryi|monkeyking|nami|nautilus|neeko|nidalee|nilah|nunu|olaf|orianna|ornn|poppy|pyke|qiyana|rakan|reksai|renata|rengar|riven|rumble|ryze|sejuani|senna|seraphine|sett|singed|sivir|skarner|sona|sylas|syndra|tahmkench|talon|teemo|thresh|tristana|tryndamere|twistedfate|twitch|udyr|varus|vayne|vex|vi|viego|viktor|vladimir|xayah|xerath|xinzhao|yasuo|yone|zac|zed|ziggs|zoe
